,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FBgn0041087.4,9.36780831814709e-42,-1.58172394918198,0.9,0.893,1.87356166362942e-38,5,FBgn0041087
FBgn0051361.1,1.64217483028921e-41,0.478950993430539,0.654,0.624,3.28434966057842e-38,5,FBgn0051361
FBgn0041183.5,3.45421300879498e-41,-0.870376213238887,0.941,0.929,6.90842601758996e-38,5,FBgn0041183
FBgn0039747.4,8.89292692668848e-41,-0.576934306354294,0.739,0.752,1.7785853853377e-37,5,FBgn0039747
FBgn0012037.1,4.88857000097907e-40,-0.595374911151221,0.881,0.882,9.77714000195814e-37,5,FBgn0012037
FBgn0041171.4,1.05413910755755e-39,-0.283414342661867,0.562,0.685,2.1082782151151e-36,5,FBgn0041171
FBgn0038088.5,3.06943806091113e-39,-0.857168334949006,0.836,0.862,6.13887612182226e-36,5,FBgn0038088
FBgn0026562.5,3.35102418253133e-39,0.407200353675838,0.99,0.95,6.70204836506267e-36,5,FBgn0026562
FBgn0029147.3,6.14293668509613e-39,0.262945219294225,0.966,0.93,1.22858733701923e-35,5,FBgn0029147
FBgn0015229.3,7.07166674868626e-39,-0.513209342945432,0.491,0.647,1.41433334973725e-35,5,FBgn0015229
FBgn0267727.4,1.28630362007022e-38,-0.760221771085369,0.694,0.785,2.57260724014043e-35,5,FBgn0267727
FBgn0012051.5,1.37366640489479e-38,-0.852868804876895,0.81,0.839,2.74733280978957e-35,5,FBgn0012051
FBgn0029507.4,3.12963706361983e-37,-0.743699664656237,0.868,0.829,6.25927412723966e-34,5,FBgn0029507
FBgn0053225.5,4.31739694497808e-37,-1.52073208608327,0.967,0.958,8.63479388995617e-34,5,FBgn0053225
FBgn0037135.1,2.48896751951251e-36,0.432499615937465,0.877,0.818,4.97793503902502e-33,5,FBgn0037135
FBgn0031457.4,3.41260536917162e-36,-0.627950494611621,0.727,0.775,6.82521073834324e-33,5,FBgn0031457
FBgn0030141.2,1.69922420594621e-35,-0.321453400427846,0.694,0.699,3.39844841189242e-32,5,FBgn0030141
FBgn0015765.4,2.83402761751255e-35,-0.848151473995999,0.808,0.799,5.6680552350251e-32,5,FBgn0015765
FBgn0261547.4,5.4839548078036e-35,-0.407528960217868,0.428,0.538,1.09679096156072e-31,5,FBgn0261547
FBgn0028734,8.1206942901679e-35,-0.316235543653558,0.485,0.605,1.62413885803358e-31,5,FBgn0028734
FBgn0034245,1.56771668434378e-34,0.442547548766022,0.932,0.855,3.13543336868756e-31,5,FBgn0034245
FBgn0261261.5,6.46317994335717e-34,-0.77400431345837,0.706,0.756,1.29263598867143e-30,5,FBgn0261261
FBgn0019661.4,6.78340239690599e-34,0.470351486359046,0.945,0.885,1.3566804793812e-30,5,FBgn0019661
FBgn0033926.4,1.09529040805253e-33,-0.645336288640499,0.954,0.949,2.19058081610505e-30,5,FBgn0033926
FBgn0053494.4,1.20316471721474e-33,-0.774526804430508,0.947,0.911,2.40632943442948e-30,5,FBgn0053494
FBgn0041191.1,1.37375197342059e-32,-0.321878098113529,0.634,0.732,2.74750394684118e-29,5,FBgn0041191
FBgn0036341.3,2.56571674576601e-32,-0.618219134838174,0.661,0.703,5.13143349153201e-29,5,FBgn0036341
FBgn0061198.5,3.75926719336284e-32,-0.449135499608389,0.88,0.883,7.51853438672569e-29,5,FBgn0061198
FBgn0014869.4,1.12967544169535e-31,-0.473435343385971,0.783,0.796,2.2593508833907e-28,5,FBgn0014869
FBgn0014163.4,1.37473895602012e-31,-0.946780857177815,0.75,0.822,2.74947791204024e-28,5,FBgn0014163
FBgn0038149.1,3.12459998725154e-31,-0.383657654006243,0.72,0.721,6.24919997450307e-28,5,FBgn0038149
FBgn0029167.5,1.07076205092065e-30,0.306775970761695,0.989,0.953,2.14152410184129e-27,5,FBgn0029167
FBgn0261363.4,1.15310706733222e-30,-1.54835410935094,0.915,0.899,2.30621413466444e-27,5,FBgn0261363
FBgn0050035.5,1.21519848008851e-30,-1.47159950703645,0.843,0.85,2.43039696017702e-27,5,FBgn0050035
FBgn0010395.4,1.3309669586003e-30,-0.615834338510065,0.792,0.803,2.6619339172006e-27,5,FBgn0010395
FBgn0010406.3,1.34041451399186e-30,-0.306939112202808,0.739,0.794,2.68082902798372e-27,5,FBgn0010406
FBgn0036663.4,3.05265427135912e-30,-0.524652352071799,0.721,0.8,6.10530854271824e-27,5,FBgn0036663
FBgn0028490.4,1.49702998023858e-29,-0.453604363618316,0.755,0.862,2.99405996047716e-26,5,FBgn0028490
FBgn0014865.5,1.69481142677454e-29,-0.564542965747508,0.886,0.81,3.38962285354908e-26,5,FBgn0014865
FBgn0037468.5,1.775793000502e-29,-0.733620866068618,0.871,0.87,3.551586001004e-26,5,FBgn0037468
FBgn0032010.4,7.4347357294049e-29,-0.343654227285969,0.795,0.763,1.48694714588098e-25,5,FBgn0032010
FBgn0039759.4,7.50339325093626e-29,-0.859390212873785,0.775,0.74,1.50067865018725e-25,5,FBgn0039759
FBgn0001258.4,7.60537961309898e-29,-0.490915248926186,0.596,0.671,1.5210759226198e-25,5,FBgn0001258
FBgn0050148.3,8.99111930919598e-29,-0.361690327407091,0.489,0.593,1.7982238618392e-25,5,FBgn0050148
FBgn0013763.5,2.15472865285306e-28,0.314298087050554,0.964,0.926,4.30945730570611e-25,5,FBgn0013763
FBgn0265174.4,2.43811855317226e-28,-0.550274961335741,0.712,0.73,4.87623710634451e-25,5,FBgn0265174
FBgn0030670.4,2.80812288770904e-28,-0.604742180240236,0.714,0.771,5.61624577541809e-25,5,FBgn0030670
FBgn0004654,3.64007990557214e-28,0.992489401567109,0.865,0.825,7.28015981114429e-25,5,FBgn0004654
FBgn0015221.3,3.37304805013227e-27,0.369905443547168,0.932,0.884,6.74609610026455e-24,5,FBgn0015221
FBgn0262565.3,3.45509197658409e-27,-0.334324459171518,0.88,0.843,6.91018395316819e-24,5,FBgn0262565
FBgn0033309.4,3.50473224815617e-27,-0.727325353166094,0.806,0.75,7.00946449631234e-24,5,FBgn0033309
FBgn0259243.3,5.05059931511481e-27,-0.448133711525905,0.592,0.673,1.01011986302296e-23,5,FBgn0259243
FBgn0034894.4,5.53310843928502e-27,-0.777847000336395,0.866,0.869,1.106621687857e-23,5,FBgn0034894
FBgn0262582.4,5.89767073475666e-27,-0.672247248968705,0.594,0.689,1.17953414695133e-23,5,FBgn0262582
FBgn0032897.5,6.2155968332086e-27,-0.967800699246092,0.885,0.831,1.24311936664172e-23,5,FBgn0032897
FBgn0036742.5,1.67706099742483e-26,-0.916555960265271,0.856,0.79,3.35412199484965e-23,5,FBgn0036742
FBgn0267849.4,1.32611305717951e-25,-0.35402567467152,0.678,0.731,2.65222611435902e-22,5,FBgn0267849
FBgn0265991.3,5.72939936185617e-25,-0.87630728558741,0.808,0.806,1.14587987237123e-21,5,FBgn0265991
FBgn0020304.3,1.90781012200009e-24,-0.568197753518277,0.762,0.791,3.81562024400018e-21,5,FBgn0020304
FBgn0004397.4,4.27886362977392e-24,-1.17988669432021,0.869,0.829,8.55772725954785e-21,5,FBgn0004397
FBgn0032726,2.95458272845242e-23,0.428803057127154,0.463,0.67,5.90916545690485e-20,5,FBgn0032726
FBgn0030520.4,4.44094975804858e-23,-0.33388430165533,0.692,0.795,8.88189951609717e-20,5,FBgn0030520
FBgn0034005.4,6.68880369793745e-23,-1.73703107435078,0.891,0.891,1.33776073958749e-19,5,FBgn0034005
FBgn0000277.2,8.11327622663984e-23,-0.352152286116876,0.87,0.761,1.62265524532797e-19,5,FBgn0000277
FBgn0037477.4,1.28206978893641e-22,-1.71878540451217,0.925,0.914,2.56413957787282e-19,5,FBgn0037477
FBgn0003890.4,1.39747198954295e-22,-0.701483380409139,0.836,0.867,2.7949439790859e-19,5,FBgn0003890
FBgn0028427.4,7.38351813686482e-21,-0.730665424730257,0.922,0.907,1.47670362737296e-17,5,FBgn0028427
FBgn0031213.3,1.10611926810045e-20,-0.739138958805643,0.81,0.812,2.2122385362009e-17,5,FBgn0031213
FBgn0015795.4,6.59891711169939e-20,-0.569742185454306,0.835,0.872,1.31978342233988e-16,5,FBgn0015795
FBgn0264693.4,1.4242575502518e-19,-0.624203981810061,0.566,0.618,2.8485151005036e-16,5,FBgn0264693
FBgn0263930.3,1.55406972890813e-19,-0.558790919777403,0.669,0.665,3.10813945781627e-16,5,FBgn0263930
FBgn0263106,2.96031102933467e-19,0.464061909515871,0.639,0.551,5.92062205866933e-16,5,FBgn0263106
FBgn0031791.5,6.22818389839272e-19,-0.433302867964145,0.826,0.761,1.24563677967854e-15,5,FBgn0031791
FBgn0040837.2,1.69772965732589e-18,0.485099325001126,0.693,0.64,3.39545931465178e-15,5,FBgn0040837
FBgn0265191.4,1.83843823172562e-18,-0.308466063572509,0.653,0.675,3.67687646345125e-15,5,FBgn0265191
FBgn0036750,2.69039791145132e-18,1.4454124608098,0.405,0.565,5.38079582290264e-15,5,FBgn0036750
FBgn0036877.4,1.303210760269e-17,-0.279399336832674,0.615,0.723,2.60642152053801e-14,5,FBgn0036877
