"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0038881",0.10108003685844,0.370358063021132,2.0279377549122,-0.0507832273789006,1,NA,"FBgn0038881","CG16791"
"FBgn0038878",0,NA,NA,NA,NA,NA,"FBgn0038878","CG3301"
"FBgn0038877",0.046228265061339,0.845076774540183,4.81357033798405,-0.00998789583978521,1,NA,"FBgn0038877","CG3308"
"FBgn0043012",0.350271371448054,0.527746069567911,0.752368013720771,-0.120226809328983,1,NA,"FBgn0043012","AP-2sigma"
"FBgn0038871",0.0562401073257843,0.338693243910099,3.5951644916253,-0.0329902900677013,1,NA,"FBgn0038871","CG3337"
"FBgn0038869",0.0386611031008198,0.741075559819423,5.02476750749055,-0.0131089245487033,1,NA,"FBgn0038869","Smyd5"
"FBgn0038889",0.0224438247269859,0.814854169121241,6.12250909890375,0.00617576695763944,0.937361885210098,NA,"FBgn0038889","Fancm"
"FBgn0038890",0.076631239468336,0.504481999173935,2.68821068792051,-0.0522941351145505,1,NA,"FBgn0038890","CG7956"
"FBgn0038893",0.105085148572927,0.681948036799942,2.15685680512252,0.0735407441792688,0.786249543280111,NA,"FBgn0038893","Archease"
"FBgn0011766",0.270561927810514,-0.114894675439007,0.817325025875432,0.117364089211833,0.731911119775891,NA,"FBgn0011766","E2f1"
"FBgn0038897",0,NA,NA,NA,NA,NA,"FBgn0038897","CG5849"
"FBgn0051431",0.113467850688523,0.789469396777193,1.81530646404142,0.0452145575109739,0.831609992601642,NA,"FBgn0051431","CG31431"
"FBgn0064912",0,NA,NA,NA,NA,NA,"FBgn0064912","CG31178"
"FBgn0038912",0.114633660383371,1.23136526251512,1.9313252999697,0.411359911281295,0.521280073942111,NA,"FBgn0038912",NA
"FBgn0053092",0,NA,NA,NA,NA,NA,"FBgn0053092","P5CDh2"
"FBgn0051465",0.00227446929645139,0.749488857677569,7.21293899421009,0.00174875048493917,0.966643734540668,NA,"FBgn0051465","CG31465"
"FBgn0038917",0,NA,NA,NA,NA,NA,"FBgn0038917","CG6678"
"FBgn0038916",0.00682373474294177,0.727798383964339,7.21293857762438,-6.33302353492127e-06,1,NA,"FBgn0038916","dnd"
"FBgn0038915",0.00254062786831374,0.74948885767757,7.21293899421009,0.00163800587795038,0.967716602053111,NA,"FBgn0038915","CG17819"
"FBgn0051174",0.0100578903570066,0.935377442711803,7.21287992648109,0.0192291575774206,0.889711527690216,NA,"FBgn0051174","CG31174"
"FBgn0038909",0.00507737200671115,0.945502559218091,7.21287488772097,0.00867726724121454,0.925782925772121,NA,"FBgn0038909","CG6569"
"FBgn0015229",0.0750433163899229,0.325053960891812,2.68454736462669,-0.0668430074863124,1,NA,"FBgn0015229","glec"
"FBgn0013759",0.0754435871807192,0.524378793413133,2.67340671813296,-0.00301203288589136,1,NA,"FBgn0013759","CASK"
"FBgn0038903",0.00635638472032481,0.727798383964339,7.21293857762438,0.00017306213594992,0.989503885378083,NA,"FBgn0038903","RpI12"
"FBgn0027575",0,NA,NA,NA,NA,NA,"FBgn0027575","GABA-B-R2"
"FBgn0038921",0.00397425812442772,0.74948885767757,7.21293899421009,0.00104766310615645,0.974178880977777,NA,"FBgn0038921","Theg"
"FBgn0038923",0.0685857530190595,0.77481222476711,2.84047849379745,-0.0277303453247271,1,NA,"FBgn0038923","mRpL35"
"FBgn0019957",0.131813607888112,0.309534357996865,1.3810735714191,-0.0704433153751722,1,NA,"FBgn0019957","ND-42"
"FBgn0038928",0.0336862779197002,0.436913381055621,4.49799274673029,-0.0233049978759965,1,NA,"FBgn0038928","Fadd"
"FBgn0038925",0.0523665291372267,0.649954082205079,3.12264160023725,-0.000670118902093009,1,NA,"FBgn0038925","Cchl"
"FBgn0038924",0.24763921815272,-0.140817901020111,0.909633411961257,0.185770875675701,0.666460040288595,NA,"FBgn0038924","CG6028"
"FBgn0019960",0.0975080724661326,0.536515259998938,1.75029156493782,0.034598846182746,0.85243876150834,NA,"FBgn0019960","Mitofilin"
"FBgn0038922",0.116493992286712,1.06517471718069,1.55089662036097,0.542741045324533,0.461298963208912,NA,"FBgn0038922","Idh3b"
"FBgn0051163",0,NA,NA,NA,NA,NA,"FBgn0051163","SKIP"
"FBgn0038934",0,NA,NA,NA,NA,NA,"FBgn0038934","Gld2"
"FBgn0038947",0.410692956250892,0.242265861781653,0.713028669740608,-0.0335501251593655,1,NA,"FBgn0038947","Sar1"
"FBgn0038952",0.0244027753501586,0.711323947303212,6.57473101403078,-0.000157013384026072,1,NA,"FBgn0038952","CG7069"
"FBgn0038953",0.0184979153995568,1.02896953950745,7.21288015410379,0.0200273136698357,0.887460826754116,NA,"FBgn0038953","CG18596"
"FBgn0038957",0.00272935791742889,0.866442594100838,7.21291246139597,0.00767160404155121,0.930204383799859,NA,"FBgn0038957","CG7059"
"FBgn0038965",0.0833282714903228,0.552207312440538,2.02438006347908,-0.00817593635269986,1,NA,"FBgn0038965","mats"
"FBgn0038964",0.271286312228201,-0.0765714529260185,0.935392605598972,0.0761289045042304,0.782613606952367,NA,"FBgn0038964","Nop56"
"FBgn0038961",0.0370283021042853,0.678896726511905,4.14151255956996,-0.00166168084798812,1,NA,"FBgn0038961","CG13850"
"FBgn0038951",0.0155027199059552,0.801233443481024,7.21291100720297,0.00350926345372926,0.952761717534872,NA,"FBgn0038951","CG5380"
"FBgn0038948",0.0875592129307644,0.322914372700352,2.22425094980891,-0.0587903686333391,1,NA,"FBgn0038948","PSR"
"FBgn0038972",0.00615391487154429,0.773420261627925,7.21288259815333,0.00549540258418446,0.940906162511776,NA,"FBgn0038972","CG7054"
"FBgn0038973",0.00696101611143627,0.844752168931788,7.21291203853383,0.00386208343154237,0.950446833421314,NA,"FBgn0038973","Pebp1"
"FBgn0038975",0.00989475353434441,0.823061706092256,7.21291162188487,0.00443574554240911,0.946899036799056,NA,"FBgn0038975","Nrx-1"
"FBgn0038976",0.35464902006709,1.10597483963856,0.767324319697485,1.74800376619027,0.186127883681288,NA,"FBgn0038976","Pfdn5"
"FBgn0038978",0.0230523006803454,0.706241916681955,7.21293797106116,-0.00614034623225024,1,NA,"FBgn0038978","tHMG1"
"FBgn0038979",0.00158168606488079,0.697125493697503,7.21291549069978,-0.000704201081227041,1,NA,"FBgn0038979","tHMG2"
"FBgn0053110",0,NA,NA,NA,NA,NA,"FBgn0053110","CG33110"
"FBgn0028837",0.0633282464578967,0.788664670028501,2.43792760923021,0.0867419078711009,0.768360741912054,NA,"FBgn0028837","CSN6"
"FBgn0038989",0.0577062533001887,0.612101064048282,2.79993610900118,-0.0506920648749656,1,NA,"FBgn0038989","CG6937"
"FBgn0051158",0.106453728150441,0.69857076510733,2.15541781373162,0.117531847262939,0.731726971688888,NA,"FBgn0051158","Efa6"
"FBgn0051159",0.0098050896431202,0.708166757456165,7.21293802811627,-0.00157353847057351,1,NA,"FBgn0051159","mRRF2"
"FBgn0051161",0,NA,NA,NA,NA,NA,"FBgn0051161","CG31161"
"FBgn0020278",0.213866457390468,-0.0202133301273114,1.01046874989915,0.0175005191152877,0.894755290332437,NA,"FBgn0020278",NA
"FBgn0051156",0.0312739340156969,0.782482282840854,6.79395281340809,0.00982972422007578,0.921023170486063,NA,"FBgn0051156","CG31156"
"FBgn0053107",0.0117566422697925,0.918165535641771,7.21287546690167,0.00592431097302892,0.938647772045393,NA,"FBgn0053107","CG33107"
"FBgn0024558",0.0562598669680011,0.682541923351352,3.25563092252273,0.00868830085173045,0.925735891676815,NA,"FBgn0024558","Dph5"
"FBgn0038984",0.0725120299789996,0.140644503517783,2.3044776920103,-0.0422497740740937,1,NA,"FBgn0038984","AdipoR"
"FBgn0038981",0.227263472686672,0.14087020840008,0.957653935580064,-0.0769827752136507,1,NA,"FBgn0038981","CG5346"
"FBgn0038977",0.00250274629521763,0.74948885767757,7.21293899421009,0.00165374574432775,0.967561949739729,NA,"FBgn0038977","CG5376"
"FBgn0038974",0.158713860788054,0.904821979938594,1.24637740982481,0.248763374599378,0.61794717245865,NA,"FBgn0038974","CG5377"
"FBgn0028688",0.26407570546931,0.501531190983147,0.951235103384078,0.159543820034344,0.689576858167753,NA,"FBgn0028688","Rpn7"
"FBgn0038968",0.0465784903668883,0.462056479124648,3.35207366993204,-0.0184911074984768,1,NA,"FBgn0038968","CG12499"
"FBgn0038966",0.372144270987721,0.341080272054376,0.759860891607051,0.0978588379803114,0.754414401133871,NA,"FBgn0038966","pinta"
"FBgn0039004",0.0315690261509389,0.808042475594012,4.88165888143263,0.0113201513078565,0.915268008174767,NA,"FBgn0039004","Nup133"
"FBgn0039006",0.0445548873392722,0.487576137666195,3.3893787163165,-0.0255220973359087,1,NA,"FBgn0039006","Cyp6d4"
"FBgn0039008",0,NA,NA,NA,NA,NA,"FBgn0039008",NA
"FBgn0039017",0.0130535066126352,0.657417050630023,7.21284647342899,-0.00276181158699274,1,NA,"FBgn0039017","CG6985"
"FBgn0039019",0.0302351526737652,0.44500618201188,4.92415014218462,-0.0155448076783529,1,NA,"FBgn0039019",NA
"FBgn0039025",0.025120042657047,0.569260871173895,6.53155926234632,-0.00931682539433609,1,NA,"FBgn0039025","Usp12-46"
"FBgn0039026",0.176900408180842,0.102516060252991,1.1284206881097,-0.0417562747457509,1,NA,"FBgn0039026","CG7029"
"FBgn0039023",0.0493112688654302,0.724448244628418,3.69507616392683,-0.0056202625176951,1,NA,"FBgn0039023","Nepl14"
"FBgn0051139",0,NA,NA,NA,NA,NA,"FBgn0051139","CG31139"
"FBgn0039016",0.0413017116274118,0.331525394393569,4.05357711663855,-0.0329863330677682,1,NA,"FBgn0039016","Dcr-1"
"FBgn0039015",0.00362639820722519,0.749488857677569,7.21293899421009,0.00118995714887404,0.972481826940275,NA,"FBgn0039015",NA
"FBgn0039013",0.00304412513085346,0.74948885767757,7.21293899421009,0.00142949484566657,0.969840238841774,NA,"FBgn0039013","CG4813"
"FBgn0024958",0.245831863732657,0.763966822587361,0.883867764021668,0.41098546235645,0.521469746947332,NA,"FBgn0024958","Irp-1A"
"FBgn0051151",0.268232719092648,0.592393198359603,0.939397547908893,0.149395292134102,0.69911390978802,NA,"FBgn0051151","wge"
"FBgn0039007",0,NA,NA,NA,NA,NA,"FBgn0039007","CCAP"
"FBgn0039003",0.0186963984016293,0.760297387877937,6.96403955848002,0.00133065004882837,0.970901159669876,NA,"FBgn0039003","wfs1"
"FBgn0046114",0.129828432859002,0.888753904829453,1.386089598862,0.357660721451055,0.549808289901944,NA,"FBgn0046114","Gclm"
"FBgn0051281",0.00154538476635191,0.749488857677569,7.21293899421009,0.00205397625568793,0.963851596658163,NA,"FBgn0051281","Tpl94D"
"FBgn0039031",0,NA,NA,NA,NA,NA,"FBgn0039031","Gbp3"
"FBgn0041225",0,NA,NA,NA,NA,NA,"FBgn0041225","Gr94a"
"FBgn0027526",0.0279223272587388,0.667798901380613,5.00195524975149,-0.00405022660415,1,NA,"FBgn0027526","Ublcp1"
"FBgn0039050",0,NA,NA,NA,NA,NA,"FBgn0039050","CG17110"
"FBgn0039051",0.0145749299098346,0.684707091616327,7.21293733845857,-0.00324944313010889,1,NA,"FBgn0039051","CG17109"
"FBgn0039052",0,NA,NA,NA,NA,NA,"FBgn0039052","CG6733"
"FBgn0039054",0,NA,NA,NA,NA,NA,"FBgn0039054","Cow"
"FBgn0053193",0.0240817298178258,0.527099334673815,5.55611573154332,-0.0125628721001334,1,NA,"FBgn0053193","sav"
"FBgn0039045",0.0662737468384888,0.954906014190961,3.00213536086922,0.0837047957539028,0.772338183664987,NA,"FBgn0039045","CG17119"
"FBgn0039044",0.0161205898197429,0.55421936590346,7.21287951129591,-0.00565353109278988,1,NA,"FBgn0039044","p53"
