"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0032699",0.0803041368425167,-0.12176191600923,0.914699068508602,-0.0159555743653073,1,NA,"FBgn0032699","CG10383"
"FBgn0036302",0.124975685691471,-0.213324251221707,0.605959967411095,0.0937530022818009,0.759459132753524,NA,"FBgn0036302","sowah"
"FBgn0016034",0.0242173823180154,-0.163717016776616,1.92813606844066,-0.00201254108770854,1,NA,"FBgn0016034","mael"
"FBgn0031883",0.107002464980259,-0.182016220345946,0.653390495385389,0.0426633229205891,0.836360517417101,NA,"FBgn0031883","Caper"
"FBgn0031115",0.0370973667045482,-0.0134252794201737,1.70839350095949,-0.00306872159956129,1,NA,"FBgn0031115","CG11710"
"FBgn0000286",0.10234010395356,-0.0424924138340798,0.798842640307693,-0.0117748701906066,1,NA,"FBgn0000286","Cf2"
"FBgn0028425",0.0837159727820534,-0.285247617134888,0.889062453809312,0.0661237950533859,0.797066473929132,NA,"FBgn0028425","JhI-21"
"FBgn0003380",0.000570136946976589,-0.169825579982507,6.46292058575293,-0.000279098003833411,1,NA,"FBgn0003380","Sh"
"FBgn0037153",0.000719591027733348,-0.208541519494696,6.46292054560926,0.000469190505047123,0.982718528924529,NA,"FBgn0037153","olf413"
"FBgn0061197",0.00322631650649037,-0.274360198032547,6.46291972526286,0.00174151620207397,0.966712760511905,NA,"FBgn0061197","salto"
"FBgn0027780",0.0203440047241651,-0.180976507929775,2.51908624244599,-0.00622709100110796,1,NA,"FBgn0027780","Aasdh"
"FBgn0003464",0.071479303024177,-0.302330762004948,0.953350019965525,0.133398076322464,0.714934490842601,NA,"FBgn0003464","sol"
"FBgn0023023",0.00303843314581094,-0.210063074443871,6.46292032908737,0.000625948152787714,0.98003984374339,NA,"FBgn0023023","CRMP"
"FBgn0037222",0.0655932003451823,-0.0351061725214912,1.11202338627713,-0.0169751380922207,1,NA,"FBgn0037222","CG14642"
"FBgn0029588",0.00326279885733668,-0.195368629033642,6.46292045078419,-5.08175123812293e-05,1,NA,"FBgn0029588","CR14798"
