"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0011692",0.0520612588952281,1.34464299759248,4.97413041898775,0.0579010849927073,0.809844653836761,1,"FBgn0011692","pav"
"FBgn0035517",0.186588342298576,0.318874724476088,1.52092520978372,-0.065706926882541,1,1,"FBgn0035517","CG1265"
"FBgn0035519",0.175547291685233,1.06579520371847,1.81378364547622,0.339837494099669,0.559923038417173,1,"FBgn0035519","CG1309"
"FBgn0035523",0,NA,NA,NA,NA,NA,"FBgn0035523","Ctl1"
"FBgn0035526",0.0226300069107847,1.02190887027397,8.04713865426754,0.0109521780552626,0.916651431959346,1,"FBgn0035526","CG1316"
"FBgn0015829",0.0285187396500755,0.540687273717901,7.17644883005845,-0.0202578623511442,1,1,"FBgn0015829","TfIIEbeta"
"FBgn0041630",0.162825561120874,1.46706345784753,1.75624352230553,0.922251092173269,0.33688460235772,1,"FBgn0041630","Hexo1"
"FBgn0035529",0.146166498419379,-0.357678405533984,1.86404710453138,0.182453760724258,0.669272942786189,1,"FBgn0035529","Fdx2"
"FBgn0035528",0.0867977479614791,0.556659877410853,2.89498373707148,-0.0304357440427623,1,1,"FBgn0035528","CG15012"
"FBgn0035524",0.041015920501066,0.729090764092583,4.34367523335183,-0.0167205069776202,1,1,"FBgn0035524","CG11583"
"FBgn0035520",0.0300105174550334,0.815738024705297,6.54118073169271,-0.00169516570404937,1,1,"FBgn0035520","CG11586"
"FBgn0035518",0.00878671844350991,0.670975262903855,8.04742860841318,-0.00260704454404248,1,1,"FBgn0035518","CG15011"
"FBgn0041171",0.183547402677375,0.447891626744089,1.85412514142866,-0.206665663343273,1,1,"FBgn0041171","ago"
"FBgn0001257",0.0591897203441105,0.0996399507689382,5.16554333278954,-0.00763628033026009,1,1,"FBgn0001257","ImpL2"
"FBgn0028664",0.0152097909628037,0.598810977881926,8.04745769463537,-0.00567675662324163,1,1,"FBgn0028664","VhaM9.7-c"
"FBgn0004574",0.506163866710196,-0.269261933540367,0.902300233502941,0.31416224392035,0.575137226773066,1,"FBgn0004574","Rop"
"FBgn0035499",8.07131428456391,-0.916329488987074,0.384859796415633,5.63309464732311,0.0176244904693782,1,"FBgn0035499","Chd64"
"FBgn0016013",0,NA,NA,NA,NA,NA,"FBgn0016013","Faa"
"FBgn0035491",0.00243161227280363,0.398562964434576,8.04745973053041,-0.00574361131590351,1,1,"FBgn0035491","Dpy-30L2"
"FBgn0035488",0.0571934862510359,0.778089722631416,4.84270878109714,-0.0146432120997417,1,1,"FBgn0035488","CG11593"
"FBgn0052251",0.051180291826758,0.970580205644,4.6719779854177,0.0694428246091405,0.792149760360371,1,"FBgn0052251","Claspin"
"FBgn0052250",0.0301989475635645,0.579799408671348,6.03807301107405,-0.00817098317968146,1,1,"FBgn0052250","PMP34"
"FBgn0035534",0.060818646807095,0.779944100712067,3.78837742860532,-0.023904132030907,1,1,"FBgn0035534","mRpS6"
"FBgn0035539",0.112005327498306,0.0453459492135993,3.24348621451158,-0.00566892812648234,1,1,"FBgn0035539","slow"
"FBgn0035540",0.0105126300384896,0.744320219290004,8.0473830170667,-0.000257616691357043,1,1,"FBgn0035540","Syx17"
"FBgn0035542",0.0800231116567375,0.351561056112423,3.17783331667774,-0.0341292844784391,1,1,"FBgn0035542","DOR"
"FBgn0052249",0,NA,NA,NA,NA,NA,"FBgn0052249","CG32249"
"FBgn0035552",0,NA,NA,NA,NA,NA,"FBgn0035552",NA
"FBgn0035557",0.00812269848002764,0.598810977881925,8.04745769463537,-0.00392353248047428,1,1,"FBgn0035557","CG11353"
"FBgn0035558",0.448487172588713,-0.0215262559899236,0.854288395818517,0.0147565183168581,0.903313697985998,1,"FBgn0035558","CG11357"
"FBgn0015805",0.0713601769086188,1.49620430808621,2.87739835670944,0.320516771674818,0.571297249514347,1,"FBgn0015805","HDAC1"
"FBgn0052243",0.143780096002828,0.414580033726244,1.70192081846051,-0.0751494644699449,1,1,"FBgn0052243","CG32243"
"FBgn0014073",0,NA,NA,NA,NA,NA,"FBgn0014073","Tie"
"FBgn0052241",0,NA,NA,NA,NA,NA,"FBgn0052241",NA
"FBgn0035541",0.227622093170178,1.21088138759373,1.31260924679749,0.803700868180442,0.369989169137973,1,"FBgn0035541","CG15019"
"FBgn0052240",0,NA,NA,NA,NA,NA,"FBgn0052240","CG32240"
"FBgn0035537",0,NA,NA,NA,NA,NA,"FBgn0035537","CG11342"
"FBgn0035533",0.369298210944319,-0.0162003507670033,0.987007191213196,0.0111683836994416,0.915835793810565,1,"FBgn0035533","Cip4"
"FBgn0035532",0.015266160661195,0.975862201728501,8.04676374662958,0.00318865548020142,0.954968842844351,1,"FBgn0035532","CG15014"
"FBgn0027085",0.0425150611930083,0.469445393351284,7.07480334559257,-0.0151942565345422,1,1,"FBgn0027085",NA
"FBgn0035578",0,NA,NA,NA,NA,NA,"FBgn0035578","CG13707"
"FBgn0035571",0.00290871002060304,0.398562964434576,8.04745973053041,-0.00656412936647044,1,1,"FBgn0035571","CG12493"
